symbol,sector,industry,sector_key,industry_key
ASIANPAINT.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
SOLARINDS.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
PIDILITIND.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
LINDEINDIA.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
BERGEPAINT.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
FLUOROCHEM.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
HSCL.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
ACUTAAS.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
AETHER.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
ATUL.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
AARTIIND.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
KANSAINER.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
GRWRHITECH.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
BASF.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
FINEORG.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
ANURAS.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
PRIVISCL.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
JSWDULUX.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
VINATIORGA.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
SPLPETRO.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
SHAILY.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
PCBL.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
JUBLINGREA.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
ALKYLAMINE.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
SUDARSCHEM.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
CLEAN.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
BALAMINES.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
ELANTAS.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
RAIN.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
GALAXYSURF.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
KINGFA.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
NEOGEN.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
RESPONIND.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
INDIGOPNTS.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
GULFOILLUB.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
LXCHEM.NS,Basic Materials,Specialty Chemicals,basic-materials,specialty-chemicals
