symbol,company_name,market_cap,pe,pe_source,peg_ratio,forward_pe,eps,sector,industry,revenue_growth,earnings_growth
RELIANCE.NS,Reliance Industries Limited,,23.058823,yahoo_trailing_pe,4.6117646,17.845886,55.25,Energy,Oil & Gas Refining & Marketing,,
BHARTIARTL.NS,Bharti Airtel Limited,11472892592128.0,38.38447,yahoo_trailing_pe,0.8529882222222223,22.369713,47.91,Communication Services,Telecom Services,,
HDFCBANK.NS,HDFC Bank Limited,10694273531904.0,15.161714,yahoo_trailing_pe,0.8423174444444445,11.083067,45.76,Financial Services,Banks - Regional,,
ICICIBANK.NS,ICICI Bank Limited,9937525669888.0,17.894531,yahoo_trailing_pe,1.0526194705882352,14.728724,77.37,Financial Services,Banks - Regional,,
SBIN.NS,State Bank of India,9320154529792.0,10.793159,yahoo_trailing_pe,0.7709399285714286,9.627109,93.55,Financial Services,Banks - Regional,,
TCS.NS,Tata Consultancy Services Limited,,16.022827,yahoo_trailing_pe,2.002853375,13.563768,137.56,Technology,Information Technology Services,,
BAJFINANCE.NS,Bajaj Finance Limited,6491522727936.0,32.078083,yahoo_trailing_pe,1.6883201578947369,20.656218,32.53,Financial Services,Credit Services,,
LT.NS,Larsen & Toubro Limited,5441550548992.0,32.843384,yahoo_trailing_pe,1.9319637647058823,21.987328,120.42,Industrials,Engineering & Construction,,
HINDUNILVR.NS,Hindustan Unilever Limited,4563611418624.0,43.22947,yahoo_trailing_pe,3.0878192857142857,36.4457,44.93,Consumer Defensive,Household & Personal Products,,
INFY.NS,Infosys Limited,4198135234560.0,13.533099,yahoo_trailing_pe,1.691637375,12.956914,76.59,Technology,Information Technology Services,,
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,4465162190848.0,36.961273,yahoo_trailing_pe,2.843174846153846,28.838018,50.35,Healthcare,Drug Manufacturers - Specialty & Generic,,
TITAN.NS,Titan Company Limited,4455194951680.0,77.163055,yahoo_trailing_pe,4.539003235294118,56.46182,65.07,Consumer Cyclical,Luxury Goods,,
ADANIENT.NS,Adani Enterprises Limited,4378773684224.0,53.572422,yahoo_trailing_pe,,46.73755,57.44,Energy,Thermal Coal,,
KOTAKBANK.NS,Kotak Mahindra Bank Limited,4143696052224.0,20.409113,yahoo_trailing_pe,2.267679222222222,16.303328,20.41,Financial Services,Banks - Regional,,
MARUTI.NS,Maruti Suzuki India Limited,3958328262656.0,27.639349,yahoo_trailing_pe,0.953081,20.780308,455.51,Consumer Cyclical,Auto Manufacturers,,
ADANIPOWER.NS,Adani Power Limited,4117282422784.0,28.890392,yahoo_trailing_pe,4.815065333333333,27.182077,7.39,Utilities,Utilities - Independent Power Producers,,
M&M.NS,Mahindra & Mahindra Limited,3750941163520.0,18.997751,yahoo_trailing_pe,0.8259891739130435,19.828827,164.43,Consumer Cyclical,Auto Manufacturers,,
AXISBANK.NS,Axis Bank Limited,3879329071104.0,14.031531,yahoo_trailing_pe,0.40090088571428567,9.849802,88.8,Financial Services,Banks - Regional,,
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,4073399517184.0,30.180948,yahoo_trailing_pe,1.117812888888889,22.61749,58.58,Industrials,Marine Shipping,,
HCLTECH.NS,HCL Technologies Limited,3265860468736.0,18.800625,yahoo_trailing_pe,3.1334375,15.068406,64.2,Technology,Information Technology Services,,
ULTRACEMCO.NS,UltraTech Cement Limited,3229688266752.0,37.866455,yahoo_trailing_pe,2.227438529411765,25.406881,289.94,Basic Materials,Building Materials,,
ITC.NS,ITC Limited,3248972365824.0,16.38029,yahoo_trailing_pe,5.460096666666666,15.404044,15.83,Consumer Defensive,Tobacco,,
