industry,industry_weighted_pe,industry_median_pe,industry_peer_count
Advertising Agencies,17.27,18.97,5
Aerospace & Defense,44.72,95.0,13
Agricultural Inputs,20.2,15.89,39
Airports & Air Services,247.12,247.12,1
Aluminum,18.17,28.91,9
Apparel Manufacturing,37.52,22.11,20
Apparel Retail,70.64,46.23,10
Asset Management,33.36,34.74,26
Auto & Truck Dealerships,64.22,57.59,2
Auto Manufacturers,29.46,29.51,11
Auto Parts,30.49,30.54,81
Banks - Regional,12.94,11.37,39
Beverages - Brewers,90.43,90.43,1
Beverages - Non-Alcoholic,41.76,36.51,2
Beverages - Wineries & Distilleries,59.56,48.24,10
Biotechnology,78.19,43.55,7
Broadcasting,16.64,23.42,5
Building Materials,34.44,31.55,27
Building Products & Equipment,44.3,32.36,27
Business Equipment & Supplies,40.93,24.65,5
Capital Markets,30.03,18.0,44
Chemicals,25.86,20.98,29
Communication Equipment,35.72,61.59,9
Computer Hardware,91.37,80.6,2
Confectioners,21.89,20.32,18
Conglomerates,36.62,32.64,27
Consulting Services,29.2,35.08,2
Consumer Electronics,52.47,62.33,3
Copper,46.93,27.15,4
Credit Services,17.01,17.43,50
Department Stores,54.89,49.5,3
Diagnostics & Research,64.54,58.49,9
Discount Stores,81.56,81.56,1
Drug Manufacturers - General,42.29,32.28,11
Drug Manufacturers - Specialty & Generic,37.34,34.45,70
Education & Training Services,64.25,19.37,10
Electrical Equipment & Parts,52.79,38.62,43
Electronic Components,77.72,76.51,6
Electronic Gaming & Multimedia,14.7,14.7,1
Electronics & Computer Distribution,27.39,28.89,4
Engineering & Construction,21.59,20.32,75
Entertainment,55.06,38.71,13
Farm & Heavy Construction Machinery,29.52,29.81,14
Farm Products,14.84,13.93,10
Financial Conglomerates,29.54,24.53,6
Financial Data & Stock Exchanges,47.12,37.31,5
Food Distribution,26.99,26.99,1
Footwear & Accessories,42.72,44.23,12
"Furnishings, Fixtures & Appliances",52.45,36.17,25
Health Information Services,29.28,27.52,4
Healthcare Plans,26.82,26.82,1
Home Improvement Retail,25.11,47.5,2
Household & Personal Products,45.19,36.95,14
Industrial Distribution,85.26,86.17,2
Information Technology Services,18.34,17.62,50
Infrastructure Operations,23.13,16.14,4
Insurance - Diversified,34.67,36.23,2
Insurance - Life,20.34,68.09,9
Insurance - Property & Casualty,48.61,48.61,1
Insurance - Reinsurance,7.02,7.02,1
Insurance Brokers,113.72,113.72,1
Integrated Freight & Logistics,51.94,32.16,18
Internet Content & Information,28.03,24.25,5
Internet Retail,568.84,194.87,4
Leisure,32.29,32.29,1
Lodging,33.72,29.42,22
Lumber & Wood Production,54.7,56.68,5
Luxury Goods,52.5,16.89,26
Marine Shipping,24.82,22.65,10
Medical Care Facilities,64.71,56.28,20
Medical Devices,81.67,75.7,2
Medical Distribution,57.34,57.34,1
Medical Instruments & Supplies,126.58,81.12,6
Metal Fabrication,45.84,29.51,21
Mortgage Finance,12.48,13.25,12
Oil & Gas E&P,34.26,52.58,4
Oil & Gas Equipment & Services,53.08,25.47,7
Oil & Gas Integrated,7.1,7.92,2
Oil & Gas Refining & Marketing,16.32,10.3,13
Other Industrial Metals & Mining,14.95,15.8,9
Other Precious Metals & Mining,29.3,29.3,1
Packaged Foods,40.89,25.37,44
Packaging & Containers,15.81,20.05,23
Paper & Paper Products,14.81,15.72,14
Pharmaceutical Retailers,39.5,39.5,1
Publishing,10.31,8.04,8
Railroads,35.87,44.15,4
Real Estate - Development,30.6,25.59,41
Real Estate - Diversified,56.59,61.06,3
Real Estate Services,24.74,22.0,16
Rental & Leasing Services,20.59,19.93,3
Resorts & Casinos,42.25,61.37,2
Restaurants,65.97,62.04,4
Scientific & Technical Instruments,35.05,114.24,2
Security & Protection Services,37.73,31.64,2
Semiconductor Equipment & Materials,148.94,148.94,1
Shell Companies,303.2,303.2,1
Software - Application,34.81,30.99,26
Software - Infrastructure,47.93,35.18,12
Solar,21.15,19.89,17
Specialty Business Services,18.11,20.16,16
Specialty Chemicals,36.95,27.39,95
Specialty Industrial Machinery,56.59,46.03,63
Specialty Retail,42.89,44.7,2
Staffing & Employment Services,25.51,18.56,4
Steel,19.28,22.43,66
Telecom Services,20.15,20.65,10
Textile Manufacturing,26.7,19.22,68
Thermal Coal,17.51,13.05,6
Tobacco,17.47,17.05,3
Tools & Accessories,43.8,46.14,8
Travel Services,36.08,57.02,5
Trucking,18.62,18.62,1
Utilities - Independent Power Producers,32.94,27.5,10
Utilities - Regulated Electric,11.31,12.2,6
Utilities - Regulated Gas,18.6,16.17,6
Utilities - Regulated Water,1006.48,1006.48,1
Utilities - Renewable,64.71,41.76,11
Waste Management,19.53,22.96,2
