symbol,error_type,reason,failed_at
<<<<<<<< HEAD:data/market_data/screener/snapshots/coverage_20260801T224349Z.csv
AAATECH.NS,ScreenerDataError,Screener returned no historical P/E observations for AAATECH.NS,2026-08-01T23:56:19.203205+00:00
AARNAV.NS,ScreenerDataError,Screener returned no historical P/E observations for AARNAV.NS,2026-08-02T00:02:36.757719+00:00
AARON.NS,ScreenerDataError,Screener returned no historical P/E observations for AARON.NS,2026-08-01T23:51:02.159333+00:00
ABBOTINDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for ABBOTINDIA.NS,2026-08-01T22:50:56.822704+00:00
ABINFRA.NS,ScreenerDataError,Screener returned no historical P/E observations for ABINFRA.NS,2026-08-01T23:43:20.985253+00:00
ACL.NS,ScreenerDataError,Screener returned no historical P/E observations for ACL.NS,2026-08-01T23:46:11.226218+00:00
ADL.NS,ScreenerDataError,Screener returned no historical P/E observations for ADL.NS,2026-08-02T00:00:38.939821+00:00
ADVANIHOTR.NS,ScreenerDataError,Screener returned no historical P/E observations for ADVANIHOTR.NS,2026-08-01T23:45:44.694826+00:00
AEQUS.NS,ScreenerDataError,Screener returned no historical P/E observations for AEQUS.NS,2026-08-01T23:01:30.848447+00:00
AGL.NS,ScreenerDataError,Screener returned no historical P/E observations for AGL.NS,2026-08-01T23:35:44.246405+00:00
AHLADA.NS,ScreenerDataError,Screener returned no historical P/E observations for AHLADA.NS,2026-08-01T23:59:45.867639+00:00
AJAXENGG.NS,ScreenerDataError,Screener returned no historical P/E observations for AJAXENGG.NS,2026-08-01T23:11:02.525535+00:00
AJOONI.NS,ScreenerDataError,Screener returned no historical P/E observations for AJOONI.NS,2026-08-01T23:58:35.870626+00:00
AKSHAR.NS,ScreenerDataError,Screener returned no historical P/E observations for AKSHAR.NS,2026-08-02T00:01:00.631103+00:00
ALBERTDAVD.NS,ScreenerDataError,Screener returned no historical P/E observations for ALBERTDAVD.NS,2026-08-01T23:47:33.033534+00:00
AMBICAAGAR.NS,ScreenerDataError,Screener returned no historical P/E observations for AMBICAAGAR.NS,2026-08-02T00:00:21.971512+00:00
AMBIKCO.NS,ScreenerDataError,Screener returned no historical P/E observations for AMBIKCO.NS,2026-08-01T23:38:29.593881+00:00
AMDIND.NS,ScreenerDataError,Screener returned no historical P/E observations for AMDIND.NS,2026-08-01T23:58:06.935837+00:00
AMIRCHAND.NS,ScreenerDataError,Screener request failed: https://www.screener.in/company/AMIRCHAND/consolidated/,2026-08-02T00:02:47.002703+00:00
ANDHRAPAP.NS,ScreenerDataError,Screener returned no historical P/E observations for ANDHRAPAP.NS,2026-08-01T23:35:56.109213+00:00
ANMOL.NS,ScreenerDataError,Screener returned no historical P/E observations for ANMOL.NS,2026-08-01T23:59:07.135210+00:00
ANTELOPUS.NS,ScreenerDataError,Screener returned no historical P/E observations for ANTELOPUS.NS,2026-08-01T23:23:19.528088+00:00
ANTGRAPHIC.NS,ScreenerDataError,Screener returned no historical P/E observations for ANTGRAPHIC.NS,2026-08-02T00:02:22.280753+00:00
ANUHPHR.NS,ScreenerDataError,Screener returned no historical P/E observations for ANUHPHR.NS,2026-08-01T23:40:46.720434+00:00
APEX.NS,ScreenerDataError,Screener returned no historical P/E observations for APEX.NS,2026-08-01T23:35:31.989169+00:00
ARCHIES.NS,ScreenerDataError,Screener returned no historical P/E observations for ARCHIES.NS,2026-08-01T23:59:50.927649+00:00
AROGRANITE.NS,ScreenerDataError,Screener returned no historical P/E observations for AROGRANITE.NS,2026-08-02T00:00:40.989314+00:00
ARTNIRMAN.NS,ScreenerDataError,Screener returned no historical P/E observations for ARTNIRMAN.NS,2026-08-01T23:57:05.088052+00:00
ARVEE.NS,ScreenerDataError,Screener returned no historical P/E observations for ARVEE.NS,2026-08-01T23:53:25.857685+00:00
ASAL.NS,ScreenerDataError,Screener returned no historical P/E observations for ASAL.NS,2026-08-01T23:40:20.530316+00:00
ASHIKA.NS,ScreenerDataError,Screener request failed: https://www.screener.in/company/ASHIKA/consolidated/,2026-08-02T00:02:56.604144+00:00
ASTRAZEN.NS,ScreenerDataError,Screener returned no historical P/E observations for ASTRAZEN.NS,2026-08-01T22:57:51.360861+00:00
ATAM.NS,ScreenerDataError,Screener returned no historical P/E observations for ATAM.NS,2026-08-01T23:58:21.489426+00:00
ATHERENERG.NS,ScreenerDataError,Screener returned no historical P/E observations for ATHERENERG.NS,2026-08-01T22:51:39.298099+00:00
AUTOAXLES.NS,ScreenerDataError,Screener returned no historical P/E observations for AUTOAXLES.NS,2026-08-01T23:24:17.367968+00:00
AVL.NS,ScreenerDataError,Screener returned no historical P/E observations for AVL.NS,2026-08-01T23:08:33.351500+00:00
AYE.NS,ScreenerDataError,Screener returned no historical P/E observations for AYE.NS,2026-08-01T23:17:46.213387+00:00
BAIDFIN.NS,ScreenerDataError,Screener returned no historical P/E observations for BAIDFIN.NS,2026-08-01T23:53:57.130188+00:00
BAJAJHCARE.NS,ScreenerDataError,Screener returned no historical P/E observations for BAJAJHCARE.NS,2026-08-01T23:35:24.533428+00:00
BAJAJHFL.NS,ScreenerDataError,Screener returned no historical P/E observations for BAJAJHFL.NS,2026-08-01T22:49:51.406706+00:00
BALKRISHNA.NS,ScreenerDataError,Screener returned no historical P/E observations for BALKRISHNA.NS,2026-08-01T23:59:29.131515+00:00
BANARBEADS.NS,ScreenerDataError,Screener returned no historical P/E observations for BANARBEADS.NS,2026-08-01T23:58:17.441252+00:00
BANARISUG.NS,ScreenerDataError,Screener returned no historical P/E observations for BANARISUG.NS,2026-08-01T23:16:55.665686+00:00
BANDHANBNK.NS,ScreenerDataError,Screener returned no historical P/E observations for BANDHANBNK.NS,2026-08-01T22:53:51.998650+00:00
BAYERCROP.NS,ScreenerDataError,Screener returned no historical P/E observations for BAYERCROP.NS,2026-08-01T22:58:20.796726+00:00
BBL.NS,ScreenerDataError,Screener returned no historical P/E observations for BBL.NS,2026-08-01T23:22:36.789849+00:00
BDL.NS,ScreenerDataError,Screener returned no historical P/E observations for BDL.NS,2026-08-01T22:52:02.743858+00:00
BELLACASA.NS,ScreenerDataError,Screener returned no historical P/E observations for BELLACASA.NS,2026-08-01T23:48:52.844197+00:00
BHARATCOAL.NS,ScreenerDataError,Screener returned no historical P/E observations for BHARATCOAL.NS,2026-08-02T00:03:03.836706+00:00
BHARATSE.NS,ScreenerDataError,Screener returned no historical P/E observations for BHARATSE.NS,2026-08-01T23:33:22.157631+00:00
BHARTIHEXA.NS,ScreenerDataError,Screener returned no historical P/E observations for BHARTIHEXA.NS,2026-08-01T22:49:06.443195+00:00
BIOFILCHEM.NS,ScreenerDataError,Screener returned no historical P/E observations for BIOFILCHEM.NS,2026-08-01T23:59:36.365645+00:00
BLAL.NS,ScreenerDataError,Screener returned no historical P/E observations for BLAL.NS,2026-08-01T23:41:27.902289+00:00
BLUEJET.NS,ScreenerDataError,Screener returned no historical P/E observations for BLUEJET.NS,2026-08-01T23:06:08.630581+00:00
BMWVENTLTD.NS,ScreenerDataError,Screener returned no historical P/E observations for BMWVENTLTD.NS,2026-08-01T23:45:17.139439+00:00
BOHRAIND.NS,ScreenerDataError,Screener returned no historical P/E observations for BOHRAIND.NS,2026-08-02T00:02:12.245935+00:00
BORANA.NS,ScreenerDataError,Screener returned no historical P/E observations for BORANA.NS,2026-08-01T23:40:05.577328+00:00
BOSCH-HCIL.NS,ScreenerDataError,Screener returned no historical P/E observations for BOSCH-HCIL.NS,2026-08-01T23:19:52.550777+00:00
BSL.NS,ScreenerDataError,Screener returned no historical P/E observations for BSL.NS,2026-08-01T23:55:23.551362+00:00
BUTTERFLY.NS,ScreenerDataError,Screener returned no historical P/E observations for BUTTERFLY.NS,2026-08-01T23:33:31.744284+00:00
CANFINHOME.NS,ScreenerDataError,Screener returned no historical P/E observations for CANFINHOME.NS,2026-08-01T23:04:04.954439+00:00
CANHLIFE.NS,ScreenerDataError,Screener returned no historical P/E observations for CANHLIFE.NS,2026-08-01T23:02:04.402407+00:00
CANTABIL.NS,ScreenerDataError,Screener returned no historical P/E observations for CANTABIL.NS,2026-08-01T23:28:15.648469+00:00
CAPITALSFB.NS,ScreenerDataError,Screener returned no historical P/E observations for CAPITALSFB.NS,2026-08-01T23:33:40.794667+00:00
CASTROLIND.NS,ScreenerDataError,Screener returned no historical P/E observations for CASTROLIND.NS,2026-08-01T22:58:52.328781+00:00
CCCL.NS,ScreenerDataError,Screener returned no historical P/E observations for CCCL.NS,2026-08-01T23:42:06.088077+00:00
CELEBRITY.NS,ScreenerDataError,Screener returned no historical P/E observations for CELEBRITY.NS,2026-08-02T00:00:07.146333+00:00
CENTEXT.NS,ScreenerDataError,Screener returned no historical P/E observations for CENTEXT.NS,2026-08-01T23:54:00.185145+00:00
CHEVIOT.NS,ScreenerDataError,Screener returned no historical P/E observations for CHEVIOT.NS,2026-08-01T23:43:06.939185+00:00
CLSEL.NS,ScreenerDataError,Screener returned no historical P/E observations for CLSEL.NS,2026-08-01T23:34:12.889639+00:00
COCKERILL.NS,ScreenerDataError,Screener returned no historical P/E observations for COCKERILL.NS,2026-08-02T00:03:20.570703+00:00
COLPAL.NS,ScreenerDataError,Screener returned no historical P/E observations for COLPAL.NS,2026-08-01T22:51:15.793740+00:00
CORALFINAC.NS,ScreenerDataError,Screener returned no historical P/E observations for CORALFINAC.NS,2026-08-01T23:55:36.033300+00:00
COUNCODOS.NS,ScreenerDataError,Screener returned no historical P/E observations for COUNCODOS.NS,2026-08-01T23:59:57.939091+00:00
CRAMC.NS,ScreenerDataError,Screener returned no historical P/E observations for CRAMC.NS,2026-08-01T23:14:42.828962+00:00
CREATIVEYE.NS,ScreenerDataError,Screener returned no historical P/E observations for CREATIVEYE.NS,2026-08-02T00:02:19.253395+00:00
CROWN.NS,ScreenerDataError,Screener returned no historical P/E observations for CROWN.NS,2026-08-01T23:55:41.617891+00:00
CSBBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for CSBBANK.NS,2026-08-01T23:12:16.610494+00:00
CSLFINANCE.NS,ScreenerDataError,Screener returned no historical P/E observations for CSLFINANCE.NS,2026-08-01T23:45:46.750681+00:00
CUB.NS,ScreenerDataError,Screener returned no historical P/E observations for CUB.NS,2026-08-01T22:57:04.011486+00:00
CUBEXTUB.NS,ScreenerDataError,Screener returned no historical P/E observations for CUBEXTUB.NS,2026-08-01T23:56:30.564284+00:00
CURAA.NS,ScreenerDataError,Screener returned no historical P/E observations for CURAA.NS,2026-08-01T23:58:19.479873+00:00
DATAPATTNS.NS,ScreenerDataError,Screener returned no historical P/E observations for DATAPATTNS.NS,2026-08-01T22:56:51.053887+00:00
DAVANGERE.NS,ScreenerDataError,Screener returned no historical P/E observations for DAVANGERE.NS,2026-08-01T23:45:20.318876+00:00
DCBBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for DCBBANK.NS,2026-08-01T23:12:33.842167+00:00
DCW.NS,ScreenerDataError,Screener returned no historical P/E observations for DCW.NS,2026-08-01T23:33:54.031615+00:00
DDEVPLSTIK.NS,ScreenerDataError,Screener returned no historical P/E observations for DDEVPLSTIK.NS,2026-08-01T23:22:52.379357+00:00
DECNGOLD.NS,ScreenerDataError,Screener returned no historical P/E observations for DECNGOLD.NS,2026-08-02T00:03:28.174756+00:00
DELTAMAGNT.NS,ScreenerDataError,Screener returned no historical P/E observations for DELTAMAGNT.NS,2026-08-01T23:58:55.063848+00:00
DENORA.NS,ScreenerDataError,Screener returned no historical P/E observations for DENORA.NS,2026-08-01T23:46:04.697722+00:00
DHANBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for DHANBANK.NS,2026-08-01T23:34:28.263892+00:00
DICIND.NS,ScreenerDataError,Screener returned no historical P/E observations for DICIND.NS,2026-08-01T23:45:56.931429+00:00
DIGJAMLMTD.NS,ScreenerDataError,Screener returned no historical P/E observations for DIGJAMLMTD.NS,2026-08-01T23:57:50.620630+00:00
DIVGIITTS.NS,ScreenerDataError,Screener returned no historical P/E observations for DIVGIITTS.NS,2026-08-01T23:24:05.121702+00:00
DNAMEDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for DNAMEDIA.NS,2026-08-02T00:00:57.600895+00:00
