symbol,screener_company_id,statement_type,financial_reporting_date,pe_average_3y,pe_median_3y,pe_average_5y,pe_median_5y,pe_average_10y,pe_median_10y,sales_growth_3y,sales_growth_5y,sales_growth_10y,profit_growth_3y,profit_growth_5y,profit_growth_10y,eps_growth_3y,eps_growth_5y,eps_growth_10y,debt_to_equity,roe,opm,source_url,refreshed_at
20MICRONS.NS,11,consolidated,2026-03-31,12.0139,11.65,10.3615,10.0,9.8964,9.95,11.0,23.0,20.0,17.0,32.0,19.0,16.919569634326372,23.81116132628234,19.80141801671,0.3223140495867768,14.5,13.0,https://www.screener.in/company/20MICRONS/consolidated/,2026-08-23T18:06:55.829859+00:00
21STCENMGM.NS,3504,consolidated,2026-03-31,3.2241,2.0,2.6964,1.9,4.35,2.9,23.0,,,-13.0,7.0,11.0,,,,0.0,-57.2,162.0,https://www.screener.in/company/21STCENMGM/consolidated/,2026-08-23T18:06:55.829859+00:00
360ONE.NS,1274695,consolidated,2026-03-31,36.658,37.1,32.5192,33.7,33.4151,34.6,30.0,27.0,,23.0,26.0,,17.449167573234714,23.314032361039928,,1.6196624644164297,14.4,62.0,https://www.screener.in/company/360ONE/consolidated/,2026-08-23T18:06:55.829859+00:00
3BBLACKBIO.NS,1778,consolidated,2026-03-31,25.1722,24.15,19.5,19.35,17.9541,16.5,32.0,-12.0,68.0,31.0,19.0,61.0,25.48561699587985,-14.754439580276236,63.1796407525814,0.0092307692307692,19.8,35.0,https://www.screener.in/company/3BBLACKBIO/consolidated/,2026-08-23T18:06:55.829859+00:00
3IINFOLTD.NS,12,consolidated,2026-03-31,9.9456,9.4,12.2622,10.2,10.0276,9.1,-2.0,14.0,8.0,133.0,27.0,17.0,190.15675801088005,-2.88950138320514,,0.1627296587926509,11.0,-1.4,https://www.screener.in/company/3IINFOLTD/consolidated/,2026-08-23T18:06:55.829859+00:00
3MINDIA.NS,13,consolidated,2024-03-31,61.8637,62.6,72.3552,65.5,82.1341,67.5,17.0,10.0,,53.0,8.0,10.0,53.16297654396451,9.763128266206444,,0.0083837913367489,30.5,19.0,https://www.screener.in/company/3MINDIA/consolidated/,2026-08-23T18:06:55.829859+00:00
3PLAND.NS,2591,consolidated,2026-03-31,34.7791,34.45,32.815,31.6,41.5832,31.1,23.0,77.0,28.0,12.0,19.0,13.0,12.054415102248006,,28.315327585610216,0.0,1.78,64.86,https://www.screener.in/company/3PLAND/consolidated/,2026-08-23T18:06:55.829859+00:00
5PAISA.NS,1274195,consolidated,2026-03-31,32.5734,33.4,50.1599,39.6,58.3092,40.75,-2.0,25.0,,0.0,-4.0,,-0.1763050201090465,19.658605062578616,,0.5839753466872111,7.04,31.0,https://www.screener.in/company/5PAISA/consolidated/,2026-08-23T18:06:55.829859+00:00
63MOONS.NS,1018,consolidated,2026-03-31,23.2076,14.1,23.2076,14.1,25.2687,21.2,-10.0,,5.0,-9.0,54.0,26.0,,,,0.0008445945945945,-1.6,-94.0,https://www.screener.in/company/63MOONS/consolidated/,2026-08-23T18:06:55.829859+00:00
A2ZINFRA.NS,16,consolidated,2026-03-31,27.35,23.85,27.35,23.85,24.1734,22.6,3.0,16.0,7.0,-22.0,30.0,-8.0,,,,1.9795918367346936,15.4,0.7,https://www.screener.in/company/A2ZINFRA/consolidated/,2026-08-23T18:06:55.829859+00:00
AADHARHFC.NS,1284772,consolidated,2026-03-31,21.9034,21.1,21.9034,21.1,21.9034,21.1,22.0,27.0,,25.0,,,22.14798328902503,23.8814114047321,,,15.9,,https://www.screener.in/company/AADHARHFC/consolidated/,2026-08-23T18:06:55.829859+00:00
AAKASH.NS,1274334,consolidated,2024-09-30,18.9949,18.4,18.5918,18.05,18.5918,18.05,,,,,-19.0,,,,,0.2333333333333333,11.2,14.0,https://www.screener.in/company/AAKASH/consolidated/,2026-08-23T18:06:55.829859+00:00
AARTIDRUGS.NS,20,consolidated,2026-03-31,24.3745,25.2,23.7096,23.6,21.1243,21.1,-2.0,-7.0,11.0,5.0,-8.0,13.0,5.9493521191184895,-6.623882553668247,11.659454370351853,0.3724983860555197,13.4,12.0,https://www.screener.in/company/AARTIDRUGS/consolidated/,2026-08-23T18:06:55.829859+00:00
AARTIIND.NS,21,consolidated,2026-03-31,46.0981,45.1,40.3548,41.3,34.7879,32.7,8.0,-5.0,5.0,-9.0,-9.0,15.0,-8.39834240219396,-5.101886237013186,4.13347123277954,0.8339210747271201,7.13,15.0,https://www.screener.in/company/AARTIIND/consolidated/,2026-08-23T18:06:55.829859+00:00
AARTIPHARM.NS,1275418,consolidated,2026-03-31,26.5777,26.6,25.7471,26.1,25.7471,26.1,-2.0,,,-3.0,,,-3.3590304331914456,,,0.3549905838041431,8.59,22.0,https://www.screener.in/company/AARTIPHARM/consolidated/,2026-08-23T18:06:55.829859+00:00
AARTISURF.NS,1274763,consolidated,2026-03-31,32.2418,29.7,49.6237,37.05,103.761,39.6,13.0,-11.0,,-1.0,-17.0,,-0.8097521382163131,-10.54307873974324,,0.4262295081967213,5.17,6.0,https://www.screener.in/company/AARTISURF/consolidated/,2026-08-23T18:06:55.829859+00:00
AARVI.NS,1274156,consolidated,2026-03-31,15.7816,15.7,14.4515,14.0,10.748,11.3,14.0,11.0,22.0,6.0,23.0,,6.64962138437013,10.943724300935664,-17.51397825001061,0.1901408450704225,13.4,3.3,https://www.screener.in/company/AARVI/consolidated/,2026-08-23T18:06:55.829859+00:00
AAVAS.NS,1274569,consolidated,2024-03-31,26.1815,26.5,34.4475,28.1,44.4623,38.2,22.0,23.0,,19.0,-11.0,,18.99113953037732,22.42991713805236,,,13.9,,https://www.screener.in/company/AAVAS/consolidated/,2026-08-23T18:06:55.829859+00:00
ABB.NS,27,consolidated,2026-06-30,82.5476,83.1,82.5476,83.1,82.5476,83.1,,,,,34.0,22.0,108.22902015389552,,,0.0155262876110932,22.4,14.0,https://www.screener.in/company/ABB/consolidated/,2026-08-23T18:06:55.829859+00:00
ABCAPITAL.NS,1274128,consolidated,2026-03-31,19.5611,18.2,18.7881,18.0,22.5136,20.8,15.0,28.0,22.0,-7.0,32.0,,-9.394109024525132,25.916087505854748,8.406821905502282,,12.0,,https://www.screener.in/company/ABCAPITAL/consolidated/,2026-08-23T18:06:55.829859+00:00
ABCOTS.NS,1275148,consolidated,2026-03-31,52.1957,47.9,52.1957,47.9,52.1957,47.9,21.0,,,89.0,,,46.65570029175372,,,0.9607843137254902,9.87,12.0,https://www.screener.in/company/ABCOTS/consolidated/,2026-08-23T18:06:55.829859+00:00
ABDL.NS,1284830,consolidated,2026-03-31,82.8821,68.4,82.8821,68.4,82.8821,68.4,8.0,147.0,,422.0,,,388.4994055649934,136.6243830938149,,0.6921226698737222,14.3,14.0,https://www.screener.in/company/ABDL/consolidated/,2026-08-23T18:06:55.829859+00:00
ABFRL.NS,486604,consolidated,2026-03-31,31.8535,32.3,30.04,28.7,30.04,28.7,-13.0,-6.0,,,-5.0,-1.0,,,,1.0597602739726026,-13.6,8.0,https://www.screener.in/company/ABFRL/consolidated/,2026-08-23T18:06:55.829859+00:00
ABLBL.NS,1285513,consolidated,2026-03-31,56.8373,57.1,56.8373,57.1,56.8373,57.1,,,,,,,,,,2.1358811040339702,14.9,16.0,https://www.screener.in/company/ABLBL/consolidated/,2026-08-23T18:06:55.829859+00:00
