Symbol,NSE Symbol,Company Name,ISIN,SERIES
20MICRONS.NS,20MICRONS,20 Microns Limited,INE144J01027,EQ
21STCENMGM.NS,21STCENMGM,21st Century Management Services Limited,INE253B01015,EQ
360ONE.NS,360ONE,360 ONE WAM LIMITED,INE466L01038,EQ
3BBLACKBIO.NS,3BBLACKBIO,3B Blackbio Dx Limited,INE994E01018,EQ
3IINFOLTD.NS,3IINFOLTD,3i Infotech Limited,INE748C01038,EQ
3MINDIA.NS,3MINDIA,3M India Limited,INE470A01017,EQ
3PLAND.NS,3PLAND,3P Land Holdings Limited,INE105C01023,EQ
5PAISA.NS,5PAISA,5Paisa Capital Limited,INE618L01018,EQ
63MOONS.NS,63MOONS,63 moons technologies limited,INE111B01023,EQ
A2ZINFRA.NS,A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,EQ
AAATECH.NS,AAATECH,AAA Technologies Limited,INE0D0U01013,EQ
AADHARHFC.NS,AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,EQ
AAKASH.NS,AAKASH,Aakash Exploration Services Limited,INE087Z01024,EQ
AARNAV.NS,AARNAV,Aarnav Fashions Limited,INE750R01016,EQ
AARON.NS,AARON,Aaron Industries Limited,INE721Z01010,EQ
AARTIDRUGS.NS,AARTIDRUGS,Aarti Drugs Limited,INE767A01016,EQ
AARTIIND.NS,AARTIIND,Aarti Industries Limited,INE769A01020,EQ
AARTIPHARM.NS,AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,EQ
AARTISURF.NS,AARTISURF,Aarti Surfactants Limited,INE09EO01013,EQ
AARVI.NS,AARVI,Aarvi Encon Limited,INE754X01016,EQ
AAVAS.NS,AAVAS,Aavas Financiers Limited,INE216P01012,EQ
ABB.NS,ABB,ABB India Limited,INE117A01022,EQ
ABBOTINDIA.NS,ABBOTINDIA,Abbott India Limited,INE358A01014,EQ
ABCAPITAL.NS,ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,EQ
ABCOTS.NS,ABCOTS,A B Cotspin India Limited,INE08PH01015,EQ
ABDL.NS,ABDL,Allied Blenders and Distillers Limited,INE552Z01027,EQ
ABFRL.NS,ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,EQ
ABINFRA.NS,ABINFRA,A B Infrabuild Limited,INE00YB01025,EQ
ABLBL.NS,ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,EQ
ABMINTLLTD.NS,ABMINTLLTD,ABM International Limited,INE251C01025,EQ
ABMKNO.NS,ABMKNO,ABM Knowledgeware Limited,INE850B01026,EQ
ABREL.NS,ABREL,Aditya Birla Real Estate Limited,INE055A01016,EQ
ABSLAMC.NS,ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,EQ
ACC.NS,ACC,ACC Limited,INE012A01025,EQ
ACCELYA.NS,ACCELYA,Accelya Solutions India Limited,INE793A01012,EQ
ACE.NS,ACE,Action Construction Equipment Limited,INE731H01025,EQ
ACEINTEG.NS,ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,EQ
ACI.NS,ACI,Archean Chemical Industries Limited,INE128X01021,EQ
ACL.NS,ACL,Andhra Cements Limited,INE666E01020,EQ
ACMESOLAR.NS,ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,EQ
ACSTECH.NS,ACSTECH,ACS Technologies Limited,INE366C01021,EQ
ACUTAAS.NS,ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,EQ
ADANIENSOL.NS,ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,EQ
ADANIENT.NS,ADANIENT,Adani Enterprises Limited,INE423A01024,EQ
ADANIGREEN.NS,ADANIGREEN,Adani Green Energy Limited,INE364U01010,EQ
