Symbol,NSE Symbol,Company Name,ISIN,SERIES,Market Cap,Market Cap Rank
RELIANCE.NS,RELIANCE,Reliance Industries Limited,INE002A01018,EQ,17960297037824.0,1
HDFCBANK.NS,HDFCBANK,HDFC Bank Limited,INE040A01034,EQ,12622829191168.0,2
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Limited,INE397D01024,EQ,11908350476288.0,3
ICICIBANK.NS,ICICIBANK,ICICI Bank Limited,INE090A01021,EQ,10360364990464.0,4
SBIN.NS,SBIN,State Bank of India,INE062A01020,EQ,9639534002176.0,5
TCS.NS,TCS,Tata Consultancy Services Limited,INE467B01029,EQ,8209440440320.0,6
BAJFINANCE.NS,BAJFINANCE,Bajaj Finance Limited,INE296A01032,EQ,6567943471104.0,7
LICI.NS,LICI,Life Insurance Corporation Of India,INE0J1Y01017,EQ,5478713131008.0,8
LT.NS,LT,Larsen & Toubro Limited,INE018A01030,EQ,5247718653952.0,9
HINDUNILVR.NS,HINDUNILVR,Hindustan Unilever Limited,INE030A01027,EQ,5037053968384.0,10
SUNPHARMA.NS,SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A01036,EQ,4636954591232.0,11
ADANIENT.NS,ADANIENT,Adani Enterprises Limited,INE423A01024,EQ,4497592025088.0,12
INFY.NS,INFY,Infosys Limited,INE009A01021,EQ,4439649812480.0,13
MARUTI.NS,MARUTI,Maruti Suzuki India Limited,INE585B01010,EQ,4339698499584.0,14
ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,EQ,4233294512128.0,15
ADANIPOWER.NS,ADANIPOWER,Adani Power Limited,INE814H01029,EQ,4135602880512.0,16
AXISBANK.NS,AXISBANK,Axis Bank Limited,INE238A01034,EQ,4132919312384.0,17
TITAN.NS,TITAN,Titan Company Limited,INE280A01028,EQ,4114204590080.0,18
KOTAKBANK.NS,KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01036,EQ,3878624165888.0,19
M&M.NS,M&M,Mahindra & Mahindra Limited,INE101A01026,EQ,3817463349248.0,20
ITC.NS,ITC,ITC Limited,INE154A01025,EQ,3517021945856.0,21
ULTRACEMCO.NS,ULTRACEMCO,UltraTech Cement Limited,INE481G01011,EQ,3449727221760.0,22
NTPC.NS,NTPC,NTPC Limited,INE733E01010,EQ,3314805637120.0,23
HCLTECH.NS,HCLTECH,HCL Technologies Limited,INE860A01027,EQ,3257472647168.0,24
ONGC.NS,ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,EQ,3110977142784.0,25
JSWSTEEL.NS,JSWSTEEL,JSW Steel Limited,INE019A01038,EQ,3020035194880.0,26
HAL.NS,HAL,Hindustan Aeronautics Limited,INE066F01020,EQ,3009955758080.0,27
BEL.NS,BEL,Bharat Electronics Limited,INE263A01024,EQ,2992989011968.0,28
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,EQ,2964051460096.0,29
BAJAJ-AUTO.NS,BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,EQ,2916434837504.0,30
NESTLEIND.NS,NESTLEIND,Nestle India Limited,INE239A01024,EQ,2752090210304.0,31
ETERNAL.NS,ETERNAL,ETERNAL LIMITED,INE758T01015,EQ,2638265712640.0,32
POWERGRID.NS,POWERGRID,Power Grid Corporation of India Limited,INE752E01010,EQ,2637186203648.0,33
COALINDIA.NS,COALINDIA,Coal India Limited,INE522F01014,EQ,2635490656256.0,34
ASIANPAINT.NS,ASIANPAINT,Asian Paints Limited,INE021A01026,EQ,2577794596864.0,35
DMART.NS,DMART,Avenue Supermarts Limited,INE192R01011,EQ,2577610833920.0,36
ADANIGREEN.NS,ADANIGREEN,Adani Green Energy Limited,INE364U01010,EQ,2493660004352.0,37
SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Limited,INE721A01047,EQ,2435066363904.0,38
TATASTEEL.NS,TATASTEEL,Tata Steel Limited,INE081A01020,EQ,2318391836672.0,39
HINDZINC.NS,HINDZINC,Hindustan Zinc Limited,INE267A01025,EQ,2190193983488.0,40
GRASIM.NS,GRASIM,Grasim Industries Limited,INE047A01021,EQ,2109162520576.0,41
HINDALCO.NS,HINDALCO,Hindalco Industries Limited,INE038A01020,EQ,2095859367936.0,42
EICHERMOT.NS,EICHERMOT,Eicher Motors Limited,INE066A01021,EQ,2076162129920.0,43
ADANIENSOL.NS,ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,EQ,2069329477632.0,44
INDIGO.NS,INDIGO,InterGlobe Aviation Limited,INE646L01027,EQ,2029419626496.0,45
IOC.NS,IOC,Indian Oil Corporation Limited,INE242A01010,EQ,2000838328320.0,46
DIVISLAB.NS,DIVISLAB,Divi's Laboratories Limited,INE361B01024,EQ,1923983474688.0,47
SBILIFE.NS,SBILIFE,SBI Life Insurance Company Limited,INE123W01016,EQ,1835365826560.0,48
WIPRO.NS,WIPRO,Wipro Limited,INE075A01022,EQ,1741033046016.0,49
VAML.NS,VAML,Vedanta Aluminium Metal Limited,INE1CDF01017,EQ,1725636804608.0,50
