Sr. No.,Company Name,"Market capitalization as on March 28, 2024(In lakhs)",Rank,Symbol
1,Reliance Industries Limited,"20,10,56,022.45",1,RELIANCE.NS
2,Tata Consultancy Services Limited,"14,02,47,926.46",2,TCS.NS
3,HDFC Bank Limited,"10,99,91,524.33",3,HDFCBANK.NS
4,ICICI Bank Limited,"7,67,65,684.66",4,ICICIBANK.NS
5,Bharti Airtel Limited,"6,94,78,399.83",5,BHARTIARTL.NS
6,State Bank of India,"6,71,44,317.89",6,SBIN.NS
7,Infosys Limited,"6,21,79,773.92",7,INFY.NS
8,Life Insurance Corporation Of India,"5,79,46,466.44",8,LICI.NS
9,ITC Limited,"5,34,64,377.65",9,ITC.NS
10,Hindustan Unilever Limited,"5,32,02,969.74",10,HINDUNILVR.NS
11,Larsen & Toubro Limited,"5,17,39,685.70",11,LT.NS
12,Bajaj Finance Limited,"4,48,47,830.87",12,BAJFINANCE.NS
13,HCL Technologies Limited,"4,18,86,777.59",13,HCLTECH.NS
14,Maruti Suzuki India Limited,"3,96,15,824.73",14,MARUTI.NS
15,Sun Pharmaceutical Industries Limited,"3,88,82,422.86",15,SUNPHARMA.NS
16,Adani Enterprises Limited,"3,64,46,975.84",16,ADANIENT.NS
17,Kotak Mahindra Bank Limited,"3,54,93,864.40",17,KOTAKBANK.NS
18,Titan Company Limited,"3,37,51,854.23",18,TITAN.NS
19,Oil & Natural Gas Corporation Limited,"3,37,21,438.41",19,ONGC.NS
20,Tata Motors Limited,"3,29,93,242.21",20,TATAMOTORS.NS
21,NTPC Limited,"3,25,61,404.88",21,NTPC.NS
22,Axis Bank Limited,"3,23,16,521.81",22,AXISBANK.NS
23,Avenue Supermarts Limited,"2,94,49,575.73",23,DMART.NS
24,Adani Green Energy Limited,"2,90,69,372.02",24,ADANIGREEN.NS
25,Adani Ports and Special Economic Zone Limited,"2,89,85,824.43",25,ADANIPORTS.NS
26,UltraTech Cement Limited,"2,81,44,844.92",26,ULTRACEMCO.NS
27,Asian Paints Limited,"2,73,05,963.09",27,ASIANPAINT.NS
28,Coal India Limited,"2,67,52,403.67",28,COALINDIA.NS
29,Bajaj Finserv Limited,"2,62,27,442.85",29,BAJAJFINSV.NS
30,Bajaj Auto Limited,"2,59,05,708.85",30,BAJAJ-AUTO.NS
31,Power Grid Corporation of India Limited,"2,57,53,371.97",31,POWERGRID.NS
32,Nestle India Limited,"2,52,83,575.29",32,NESTLEIND.NS
33,Wipro Limited,"2,50,85,189.78",33,WIPRO.NS
34,Mahindra & Mahindra Limited,"2,38,92,541.19",34,M&M.NS
35,Indian Oil Corporation Limited,"2,36,88,377.39",35,IOC.NS
36,Jio Financial Services Limited,"2,24,74,742.82",36,JIOFIN.NS
37,Hindustan Aeronautics Limited,"2,22,50,144.25",37,HAL.NS
38,DLF Limited,"2,22,03,575.87",38,DLF.NS
39,Adani Power Limited,"2,05,88,340.07",39,ADANIPOWER.NS
40,JSW Steel Limited,"2,03,02,158.83",40,JSWSTEEL.NS
